date,rm_sh,rm_shl1,rm_shl2,rm_shl3,rm_shl4,rm_shl5,rm_shl6
1991-03-31,0.20439645004507295,0.0,0.0,0.0,0.0,0.0,0.0
1991-06-30,-0.26814088159646254,0.0,0.0,0.0,0.0,0.0,0.0
1991-09-30,0.40765332046371777,0.0,0.0,0.0,0.0,0.0,0.0
1991-12-31,-0.3116481919884298,0.0,0.0,0.0,0.0,0.0,0.0
1992-03-31,-1.4235589562796256,0.0,0.0,0.0,0.0,0.0,0.0
1992-06-30,-0.3543924470748919,0.0,0.0,0.0,0.0,0.0,0.0
1992-09-30,-0.6966157098351629,0.0,0.0,0.0,0.0,0.0,0.0
1992-12-31,-0.19184644907977652,0.0,0.0,0.0,0.0,0.0,0.0
1993-03-31,0.060133962467408125,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-30,-0.9639533590308469,0.0,0.0,0.0,0.0,0.0,0.0
1993-09-30,-0.7853624758432336,0.0,0.0,0.0,0.0,0.0,0.0
1993-12-31,-0.28990468981836665,0.0,0.0,0.0,0.0,0.0,0.0
1994-03-31,-0.2863671837347376,0.0,0.0,0.0,0.0,0.0,0.0
1994-06-30,0.22350113712596728,0.0,0.0,0.0,0.0,0.0,0.0
1994-09-30,0.09519653390551225,0.0,0.0,0.0,0.0,0.0,0.0
1994-12-31,-0.0050965518809202685,0.0,0.0,0.0,0.0,0.0,0.0
1995-03-31,1.011169163102173,0.0,0.0,0.0,0.0,0.0,0.0
1995-06-30,0.7875562038534886,0.0,0.0,0.0,0.0,0.0,0.0
1995-09-30,-0.08411931542614469,0.0,0.0,0.0,0.0,0.0,0.0
1995-12-31,0.5226488612135467,0.0,0.0,0.0,0.0,0.0,0.0
1996-03-31,0.10388941782626279,0.0,0.0,0.0,0.0,0.0,0.0
1996-06-30,-0.6728460205985048,0.0,0.0,0.0,0.0,0.0,0.0
1996-09-30,-0.22826188319242527,0.0,0.0,0.0,0.0,0.0,0.0
1996-12-31,-0.2585040578521977,0.0,0.0,0.0,0.0,0.0,0.0
1997-03-31,-0.18866030710937962,0.0,0.0,0.0,0.0,0.0,0.0
1997-06-30,0.12776183324655485,0.0,0.0,0.0,0.0,0.0,0.0
1997-09-30,-0.6954825195892935,0.0,0.0,0.0,0.0,0.0,0.0
