Date,ConvenienceYield_Baseline_APR,ConvenienceYield_USExcludingMatchedPrivilege_APR,ConvenienceYield_Counterfactual_APR,LongRate_Baseline_APR,LongRate_USExcludingMatchedPrivilege_APR,LongRate_Counterfactual_APR,PolicyRate_Baseline_APR,PolicyRate_USExcludingMatchedPrivilege_APR,PolicyRate_Counterfactual_APR,CorePCEInflation_Baseline_YY,CorePCEInflation_USExcludingMatchedPrivilege_YY,CorePCEInflation_Counterfactual_YY,OutputGap_Baseline,OutputGap_USExcludingMatchedPrivilege,OutputGap_Counterfactual,Forward5YearRealNaturalRate_Baseline_APR,Forward5YearRealNaturalRate_USExcludingMatchedPrivilege_APR,Forward5YearRealNaturalRate_Counterfactual_APR
2010-06-30,-1.6744074382460088,0.11655344927115086,-0.9293284158181838,3.24,4.53742270998065,0.7057260088058612,0.19,3.886688854765484,-1.2672969792266748,1.585435374,1.9011188491842588,0.5959886883321794,-4.7217848491225265,-1.9278157822928748,-4.730409232530555,0.7613867052161015,1.527578000569405,-1.3183863288821445
2010-09-30,-1.0196717607487482,0.1152565384699682,-1.0626045091775873,2.7339,3.607011057190361,-0.47177391156533854,0.19,3.319038223249832,-1.8370862431610382,1.3852841310000001,1.7199218815002442,0.48588953278981584,-5.438962502137155,-3.0571931961780674,-5.870787036606793,0.9727786739268508,1.4423859947967297,-1.6035126065196255
2010-12-31,-1.2222850942575376,0.11397435276927803,-1.0921133404730659,3.5448,4.368844276989664,0.259624537265831,0.19,3.1904534097796446,-2.0027086933480995,1.07984941,1.3573333078044396,0.14571180489808302,-6.424222211806024,-4.107705983335252,-6.956323264228128,1.0653677986407264,1.4905451440844817,-1.5811327556269388
2011-03-31,-1.0494229221954365,0.11270665591219475,-0.6080564825295158,3.6977,4.415649626498017,0.3590303136777506,0.15,2.948749094491382,-1.8268166565383455,1.1767652339999999,1.3931827615659769,0.17971481409118953,-6.699056774912134,-4.507631595491163,-7.021018816583821,0.9233711032202934,1.278594103359255,-1.8174444838685015
2011-06-30,-0.8668945081276,0.11145323001113772,-0.6421891876192597,3.4302,4.45505656380137,0.6738237084661067,0.09,2.800607288748595,-1.7009384863297063,1.4904263009999998,1.6820081224736865,0.46501656695699556,-6.053844750591459,-3.9168303840266585,-6.214883324382114,0.44209392352535737,1.0698167536481256,-1.8054123039383998
2011-09-30,-0.805689605243418,0.11021387195397736,-0.539263972177637,2.0606,3.2574555544169423,-0.3386312332695085,0.08,2.734305708302509,-1.4880447440269542,1.792548176,2.0010156351479407,0.8047369246669993,-6.1293216445098055,-4.036063660254382,-6.11871892359081,0.3217533639053112,1.1137950684421543,-1.6280288970677956
2011-12-31,-0.7619229431901409,0.10898839057957632,-0.9864055734785852,1.9843,3.156726785058538,-0.9586207689187181,0.07,2.6165609432310872,-2.0762901337508435,1.8327149249999999,2.0703943398007003,0.8751326001925239,-6.631971600529693,-4.62767755591707,-7.077358259179054,0.30878624613057726,1.1010094855588268,-2.0107323742021426
2012-03-31,-0.6654838147122081,0.10777660445718473,-1.309218509724746,2.3459,3.3605284742392656,-1.1617792682716002,0.1,2.4774572181108905,-2.8729051514508575,2.023076609,2.289170899839522,1.0724402825027683,-6.604834717707968,-4.734595667075315,-7.693223563645508,0.511818099331518,1.1837210689954578,-2.212163850085556
2012-06-30,-0.6864645791805328,0.10657834013981082,-1.3716119307996049,1.7073,2.916594403951936,-1.8108992927367238,0.15,2.528015893724992,-3.2583429390938785,1.8530836510000002,2.140156859944245,0.8697157742381187,-6.737411400698991,-4.875269665513086,-8.1653013830615,0.04091337370185477,0.8776567080063953,-2.671080736064239
2012-09-30,-0.7305262604764032,0.1053934307895924,-1.6765171201867046,1.676,3.2370521085160657,-1.547936110428566,0.14,2.6750044143189,-3.6044556327076545,1.6857590070000001,2.0018174756343963,0.6611912950517127,-6.7482444353224595,-4.784459096793728,-8.459654826393104,-0.4527372324834875,0.6730002628513376,-2.8768507362119835
